brand,env_host,domain,product_id,variant_id
A.P.C,drawer.kleep.ai,www.apc.fr,PF7839-00-001,
Aigle,drawer.kleep.ai,aigle.com,PF7839-00-001,
Alme,drawer.kleep.ai,www.almeparis.com,PF7839-00-001,
Ancient Greek Sandals,drawer.kleep.ai,www.ancient-greek-sandals.com,7701146140742,
Another Tomorrow,drawer.kleep.ai,anothertomorrow.co,PF7839-00-001,
Antonelle,drawer.kleep.ai,antonelle.fr,PF7839-00-001,
Asphalte,drawer.kleep.ai,asphalte.com,FFOU17028KBEI79,
Atelier Tuffery,drawer.kleep.ai,www.ateliertuffery.com,PF7839-00-001,
Barbara Bui,drawer.kleep.ai,barbarabui.com,PF7839-00-001,
Barnie,drawer.kleep.ai,barnie.com,PF7839-00-001,
Bash,drawer.kleep.ai,ba-sh.com,PF7839-00-001,
Bensimon,drawer.kleep.ai,bensimon.com,L1212-00-001,
BESSEC,drawer.kleep.ai,www.bessec-chaussures.com,PF7839-00-001,
Bimani,drawer.kleep.ai,bimani.com,PF7839-00-001,
Blackstore,drawer.kleep.ai,blackstore.fr,PF7839-00-001,
Boggi Milano,drawer.kleep.ai,boggi.com,PF7839-00-001,
Bonne Gueule,drawer.kleep.ai,bonnegueule.fr,8808346583363,
Bonpoint,drawer.kleep.ai,www.bonpoint.com,PF7839-00-001,
BZB,drawer.kleep.ai,www.b-z-b.com,PF7839-00-001,
C.P. Company,drawer.kleep.ai,cpcompany.com,PF7839-00-001,
Carelli,drawer.kleep.ai,shopcarelli.com,655457562,
Celio,drawer.kleep.ai,www.celio.com,PF7839-00-001,
Chlore,drawer.kleep.ai,www.chlore-swimwear.fr,TH2739-00-BZD,
Cimalp,drawer.kleep.ai,www.cimalp.fr,PF7839-00-001,
Circle SportsWear,drawer.kleep.ai,circlesportswear.com,TH2739-00-BZD,
Club Brugge,drawer.kleep.ai,shop.clubbrugge.be,PF7839-00-001,
Culto,drawer.kleep.ai,culto.fit,PF7839-00-001,
Curling,drawer.kleep.ai,www.curling.fr,PF7839-00-001,
Daytona 73,drawer.kleep.ai,daytona73.com,655457562,
Devernois,drawer.kleep.ai,devernois.com,PF7839-00-001,
Devred,drawer.kleep.ai,devred.com,PF7839-00-001,
Eazy Garments,drawer.kleep.ai,sirtexeazy.com,655457562,
Eric Bompard,drawer.kleep.ai,eric-bompard.com,PF7839-00-001,
Error Paris,drawer.kleep.ai,error-paris.com,PF7839-00-001,
Essentiel Antwerp,,essentiel-antwerp.com,PF7839-00-001,
Et Paris,drawer.kleep.ai,etparis.com,L1212-00-001,
Faguo,drawer.kleep.ai,faguo-store.com,L1212-00-001,
Fedeli Cashmere,drawer.kleep.ai,fedelicashmere.com,PF7839-00-001,
Ferrante,drawer.kleep.ai,af-fdl.myshopify.com,PF7839-00-001,
Frame,drawer.kleep.ai,frame-store.com,PF7839-00-001,
Freeman,drawer.kleep.ai,www.freemantporter.com,MIV10890_N0020,
From Future,drawer.kleep.ai,www.fromfuture.com,8953436275022,
Galore,drawer.kleep.ai,galoreyyz.com,PF7839-00-001,
Gerard Darel,drawer.kleep.ai,gerarddarel.com,TH2739-00-BZD,
Givenchy,drawer.kleep.ai,www.givenchy.com,PF7839-00-001,
Gualap,drawer.kleep.ai,gualap.com,8098590228676,
Hartford,drawer.kleep.ai,hartford.fr,8800324976898,
Hast,drawer.kleep.ai,www.hastparis.com,PF7839-00-001,
Hast,drawer.kleep.ai,www.hastparis.com,9093977538834,
Intersport,drawer.kleep.ai,intersport.fr,PF7839-00-001,
Iron and Resin,drawer.kleep.ai,ironandresin.com,655457562,
IZAC,drawer.kleep.ai,izac.fr,9077749252431,
Jack Victor,drawer.kleep.ai,www.jackvictor.com,9946667090087,
JOTT,drawer.kleep.ai,jott.com,9239685431632,
Jules,drawer.kleep.ai,www.jules.com,PF7839-00-001,
KENZO,drawer.kleep.ai,www.kenzo.com,PF7839-00-001,
Khanum's,drawer.kleep.ai,khanums.myshopify.com,7968206848089,
Kookai,drawer.kleep.ai,kookai.fr,FFOU17028KBEI79,
Kuwalla Tee,drawer.kleep.ai,kuwallatee.com,655457562,
La Canadienne,drawer.kleep.ai,la-canadienne.com,TH2739-00-BZD,
La Petite Etoile,drawer.kleep.ai,www.lapetiteetoile.com,8800324976898,
Lacoste,drawer.kleep.ai,lacoste.com,L1212-00-001,
Le Slip Français,drawer.kleep.ai,www.leslipfrancais.fr,PF7839-00-001,
LeCollet,drawer.kleep.ai,lecollet.pl,PF7839-00-001,
Loom,drawer.kleep.ai,www.loom.fr,PF7839-00-001,
Loro Piana,drawer.kleep.ai,fr.loropiana.com,PF7839-00-001,
Loulou de Saison,drawer.kleep.ai,louloudesaison.com,PF7839-00-001,
LTDC,drawer.kleep.ai,letempsdescerises.com,PF7839-00-001,
Maison Kitsuné,drawer.kleep.ai,maisonkitsune.com,L1212-00-001,
Marcy Paris,drawer.kleep.ai,marcy.paris,PF7839-00-001,
Margaux Lonnberg,drawer.kleep.ai,margauxlonnberg.com,PF7839-00-001,
Marjolaine,drawer.kleep.ai,www.marjolaine.fr,55916974604633,
Massimo Alba,,massimoalba.com,PF7839-00-001,
Millet,drawer.kleep.ai,www.millet.com,PF7839-00-001,
Mister K,drawer.kleep.ai,misterk.fr,8800324976898,
Molli,drawer.kleep.ai,molli.com,TH2739-00-BZD,
Muscari,drawer.kleep.ai,muscaricollection.es,15327943065983,
Muuv,drawer.kleep.ai,muuv.pl,PF7839-00-001,
Nina Blanc,drawer.kleep.ai,ronning.myshopify.com,PF7839-00-001,
Nina Ricci,drawer.kleep.ai,www.ninaricci.com,L1212-00-001,
Nines,drawer.kleep.ai,www.thenines.fr,PF7839-00-001,
No Gender,drawer.kleep.ai,nogender.eu,PF7839-00-001,
Ogier,drawer.kleep.ai,ogier-og.com,PF7839-00-001,
